,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
163,SKC,2.05 ,−1.91%,−0.04 AUD,Strong Sell,116.972K,239.793K AUD,1.021B USD,−19.90%,72.62,0.02 USD,3.923K
164,SMR,2.84 ,2.16%,0.06 AUD,Buy,733.7K,2.084M AUD,1.604B USD,13.93%,2.18,0.87 USD,—
165,SNZ,9.28 ,−0.11%,−0.01 AUD,Neutral,2,19 AUD,1.373B USD,−9.33%,8.56,0.74 USD,1.706K
166,SOL,32.08 ,0.25%,0.08 AUD,Neutral,204.712K,6.567M AUD,7.396B USD,20.85%,10.34,2.21 USD,47
167,SPK,4.64 ,−1.49%,−0.07 AUD,Strong Sell,1.024M,4.75M AUD,5.548B USD,−1.72%,8.31,0.37 USD,5.432K
168,SQ2,89.15 ,1.13%,1.00 AUD,Sell,158.244K,14.107M AUD,34.701B USD,−15.11%,—,−0.45 USD,12.428K
169,STO,7.85 ,1.03%,0.08 AUD,Buy,5.481M,43.026M AUD,16.121B USD,0.00%,—,—,3.55K
170,SUL,12.96 ,1.41%,0.18 AUD,Buy,829.21K,10.747M AUD,1.848B USD,24.44%,11.23,0.78 USD,15.599K
171,SUN,13.06 ,−1.43%,−0.19 AUD,Sell,3.701M,48.338M AUD,10.724B USD,19.72%,14.81,0.61 USD,13K
172,SVW,26.38 ,−0.98%,−0.26 AUD,Neutral,667.326K,17.604M AUD,6.194B USD,43.71%,16.21,1.09 USD,15K
173,TAH,1.050 ,0.00%,0.000 AUD,Strong Sell,4.384M,4.603M AUD,1.534B USD,12.70%,—,—,—
174,TCL,13.18 ,0.08%,0.01 AUD,Sell,4.342M,57.224M AUD,25.976B USD,−6.56%,633.65,0.01 USD,9K
175,TLC,5.16 ,0.39%,0.02 AUD,Sell,3.293M,16.991M AUD,7.325B USD,14.99%,35.76,0.10 USD,—
176,TLS,3.97 ,−0.75%,−0.03 AUD,Sell,42.089M,167.095M AUD,29.54B USD,−2.91%,23.79,0.11 USD,—
177,TLX,9.80 ,−0.81%,−0.08 AUD,Sell,1.045M,10.243M AUD,2.017B USD,59.03%,—,−0.23 USD,234
178,TNE,14.60 ,0.55%,0.08 AUD,Sell,566.133K,8.266M AUD,3.018B USD,19.99%,48.98,0.20 USD,—
179,TPG,5.37 ,0.00%,0.00 AUD,Neutral,490.616K,2.635M AUD,6.393B USD,−7.41%,19.47,0.19 USD,6K
180,TWE,11.60 ,−1.69%,−0.20 AUD,Sell,2.645M,30.677M AUD,5.454B USD,−12.07%,33.07,0.23 USD,2.5K
181,VCX,1.770 ,−4.07%,−0.075 AUD,Strong Sell,12.521M,22.162M AUD,5.378B USD,−5.63%,29.75,0.04 USD,—
182,VEA,3.14 ,0.64%,0.02 AUD,Buy,2.665M,8.369M AUD,3.078B USD,12.10%,9.50,0.23 USD,1.705K
183,VNT,2.76 ,−0.72%,−0.02 AUD,Sell,1.667M,4.601M AUD,1.523B USD,−0.71%,12.40,0.15 USD,—
184,VUK,3.15 ,−1.25%,−0.04 AUD,Sell,1.086M,3.421M AUD,2.779B USD,17.65%,6.07,0.35 USD,7.586K
185,WAM,1.630 ,−0.31%,−0.005 AUD,Buy,954.317K,1.556M AUD,1.152B USD,—,—,−0.20 USD,—
186,WBC,20.62 ,−3.06%,−0.65 AUD,Strong Sell,12.658M,261.004M AUD,47.728B USD,−3.88%,12.15,1.23 USD,37.476K
187,WDS,38.46 ,0.16%,0.06 AUD,Buy,2.716M,104.457M AUD,46.632B USD,14.63%,6.60,3.98 USD,4.376K
188,WEB,7.52 ,−0.66%,−0.05 AUD,Sell,545.537K,4.102M AUD,1.857B USD,48.49%,197.89,0.03 USD,—
189,WES,49.62 ,0.43%,0.21 AUD,Sell,1.229M,60.998M AUD,35.891B USD,1.03%,22.29,1.52 USD,120K
190,WHC,7.25 ,−0.41%,−0.03 AUD,Buy,6.026M,43.692M AUD,4.059B USD,−9.68%,2.03,2.47 USD,—
191,WLE,1.485 ,1.02%,0.015 AUD,Strong Buy,352.433K,523.363K AUD,1.183B USD,—,12.68,0.08 USD,—
192,WOR,17.27 ,0.88%,0.15 AUD,Buy,825.351K,14.254M AUD,5.766B USD,21.31%,—,−0.01 USD,51K
193,WOW,37.35 ,−0.59%,−0.22 AUD,Sell,1.021M,38.129M AUD,29.193B USD,−4.12%,26.94,0.96 USD,198K
194,WPR,2.50 ,−0.40%,−0.01 AUD,Sell,921.693K,2.304M AUD,1.08B USD,−7.82%,13.87,0.12 USD,—
195,WTC,84.22 ,0.29%,0.24 AUD,Neutral,606.037K,51.04M AUD,17.737B USD,57.12%,121.63,0.47 USD,2K
196,XRO,114.97 ,0.59%,0.68 AUD,Neutral,369.111K,42.437M AUD,11.071B USD,29.90%,—,−0.46 USD,5.08K
197,YAL,5.05 ,−1.17%,−0.06 AUD,Sell,2.379M,12.015M AUD,4.32B USD,−10.19%,2.38,1.42 USD,3.359K
198,ZIM,24.83 ,0.24%,0.06 AUD,Sell,4.345K,107.886K AUD,1.707B USD,−14.05%,5.42,3.12 USD,8.937K
